game_id,game_duration,champion,win,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,damageSelfMitigated,timeCCingOthers,totalDamageTaken,goldEarned,goldSpent,totalTimeCrowdControlDealt
3185627628,1186,245,True,10,8,25,2,2,3,177,1,0,0,0,99937,71777,9231,18927,17973,13890,2951,1130,12507,22865,12,32369,13250,11120,220
3185623021,1337,142,True,18,11,17,4,2,5,208,4,0,0,0,61916,54698,5289,1928,27436,23379,2192,1865,5497,7462,12,24991,14564,14100,50
3185569384,1102,136,True,7,7,30,2,1,2,216,0,0,0,0,63139,57310,5201,627,22222,19767,1828,627,2589,8287,33,23091,11882,10700,187
3184620279,1159,18,False,11,12,15,2,2,3,132,1,0,0,0,89232,26261,62325,645,27856,4658,22609,588,4146,10496,3,22536,13131,12400,22
3184585171,1186,498,True,11,8,21,3,2,4,194,1,0,0,0,103345,3615,99063,665,22274,685,21082,505,4740,13428,19,20538,14626,11550,19
3184571155,1143,7,False,22,11,20,7,3,6,203,4,1,0,0,73927,65085,7701,1140,35886,33577,1353,955,5690,16108,22,26423,14544,13050,100
3184516404,1203,142,False,9,10,20,3,2,3,221,1,0,0,0,99211,81032,11024,7154,35956,30027,3069,2859,7170,10038,41,24652,12155,12035,151
3183780840,1197,75,False,11,13,20,3,3,3,130,2,1,0,0,60133,25032,33725,1374,20923,8491,11152,1279,2694,56116,14,43837,13553,12583,302
3183706496,933,157,False,6,10,8,2,2,2,185,1,0,0,0,58627,13849,44002,775,12260,2772,8737,750,3861,15258,15,19173,10288,9725,36
3183581616,1242,161,False,8,7,13,4,2,2,350,1,0,0,0,84890,73618,5369,5902,33049,28008,400,4640,1473,7277,41,17036,13801,13750,255
3182387185,1455,55,False,10,14,36,2,1,1,130,0,0,0,0,115492,101076,9993,4422,40055,32713,3160,4180,18450,49010,3,53314,15971,14700,212
3182400992,1303,8,True,10,13,38,2,1,3,119,0,0,0,0,59718,54838,3831,1049,24420,22117,1374,929,13713,15480,6,35264,13818,12900,68
3182335973,1371,163,False,21,11,20,4,2,6,187,4,0,0,0,116986,107616,5535,3834,40118,38550,733,834,12116,18804,32,41492,16827,16550,485
3182313674,774,110,False,7,6,16,3,1,1,226,0,0,0,0,32895,3338,29279,277,13443,2565,10600,277,2605,5389,32,12966,9063,8585,146
3182139323,1099,21,True,9,7,21,3,2,3,202,2,0,0,0,84549,6044,77958,546,31193,1595,29052,546,3250,7278,13,15367,12491,11300,174
3181614874,1320,67,False,11,8,17,3,2,3,376,2,0,0,0,101139,20942,70430,9765,25333,3670,16070,5592,4507,9355,7,19250,14538,14200,8
3181630428,818,4,False,7,7,10,4,2,1,209,1,0,0,0,42669,22188,20186,295,12157,7261,4635,260,848,5925,22,13432,8932,8233,54
3181576516,803,112,False,6,7,12,2,1,1,172,0,0,0,0,45579,41437,3647,495,15581,14893,293,395,837,7382,26,12228,8070,7900,164
3181571659,1195,164,False,8,12,17,3,2,3,122,2,0,0,0,49935,191,44947,4796,17965,191,15063,2711,4446,33001,26,34519,12045,11568,136
3180464710,617,76,True,16,4,12,6,4,4,158,2,1,1,0,35077,30687,4126,263,17536,16060,1213,263,1927,2812,0,6794,9078,6900,3
3180430093,1531,498,False,22,14,18,5,3,7,176,6,1,0,0,150911,5036,145243,631,47076,1737,44971,366,5922,18180,15,34655,18507,16750,42
3180154515,1190,1,False,10,11,17,3,2,2,168,2,0,0,0,56039,50379,4770,889,26888,24832,1336,719,2616,11035,32,29075,12605,11800,204
3180111259,1080,203,True,21,7,19,6,2,6,214,7,0,0,0,131272,36432,87459,7380,44240,10982,30742,2515,11848,10403,2,19479,16023,10700,83
3180067448,987,53,False,7,9,17,2,1,2,158,0,0,0,0,25432,19400,5186,845,14222,10679,2893,650,1586,25923,42,24056,10191,8600,128
3180084870,876,10,True,9,7,20,2,2,4,320,3,0,0,0,42702,22684,15606,4411,14995,9325,5377,291,6716,7706,7,17087,11784,9085,61
3180051877,1072,4,True,10,8,19,2,2,4,143,2,0,0,0,48697,22470,25513,713,19167,8354,10270,543,1969,4954,37,15542,11907,10458,65
3179462625,1244,10,True,10,11,28,3,2,3,139,2,0,0,0,52866,33549,18684,632,27749,17631,9485,632,9046,11322,12,27354,13340,10750,95
3179418434,1083,134,True,22,7,11,5,4,6,180,3,2,1,0,96763,92421,2929,1412,38448,36312,912,1223,3327,7853,62,16215,14448,14085,228
3179273166,1561,29,True,12,14,34,3,3,3,189,2,1,0,0,104054,16764,79220,8069,39854,5414,28725,5714,6087,12177,17,32628,16972,14560,211
3179268845,1107,161,True,2,6,21,0,1,0,305,0,0,0,0,70513,62422,4199,3891,18470,16652,214,1603,2045,4485,26,12669,10613,8650,188
3177325469,843,35,True,6,7,16,2,1,1,151,0,0,0,0,25151,18237,6462,452,10389,9364,671,352,3296,5451,15,13850,9535,8750,153
3177310775,1252,105,False,5,10,23,2,1,1,217,0,0,0,0,41261,31538,8872,850,15778,11822,3294,661,3382,13420,13,22520,11483,10400,128
3177305658,861,110,False,6,7,10,2,1,1,174,0,0,0,0,45745,4747,38834,2163,17630,2762,14344,523,3025,7227,24,14820,9274,9025,169
